id,latitude,longitude,stationName,statusValue,totalDocks
72,40.76727216,-73.99392888,W 52 St & 11 Ave,In Service,39
79,40.71911552,-74.00666661,Franklin St & W Broadway,In Service,33
82,40.71117416,-74.00016545,St James Pl & Pearl St,Not In Service,0
83,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,In Service,62
116,40.74177603,-74.00149746,W 17 St & 8 Ave,In Service,39
119,40.69608941,-73.97803415,Park Ave & St Edwards St,In Service,19
120,40.68676793,-73.95928168,Lexington Ave & Classon Ave,In Service,19
127,40.73172428,-74.00674436,Barrow St & Hudson St,In Service,31
128,40.72710258,-74.00297088,MacDougal St & Prince St,In Service,30
137,40.761628,-73.972924,E 56 St & Madison Ave,Not In Service,0
143,40.69239502,-73.99337909,Clinton St & Joralemon St,In Service,24
144,40.69839895,-73.98068914,Nassau St & Navy St,In Service,19
146,40.71625008,-74.0091059,Hudson St & Reade St,In Service,39
147,40.71542197,-74.01121978,Greenwich St & Warren St,Not In Service,0
150,40.7208736,-73.98085795,E 2 St & Avenue C,In Service,31
151,40.722103786686034,-73.99724900722504,Cleveland Pl & Spring St,In Service,33
152,40.71473993,-74.00910627,Warren St & Church St,In Service,29
153,40.752062307,-73.9816324043,E 40 St & 5 Ave,In Service,55
157,40.69089272,-73.99612349,Henry St & Atlantic Ave,In Service,23
161,40.72917025,-73.99810231,LaGuardia Pl & W 3 St,In Service,35
164,40.75323098,-73.97032517,E 47 St & 2 Ave,In Service,47
167,40.7489006,-73.97604882,E 39 St & 3 Ave,In Service,45
168,40.73971301,-73.99456405,W 18 St & 6 Ave,In Service,47
173,40.76068327096592,-73.9845272898674,Broadway & W 49 St,In Service,51
174,40.7381765,-73.97738662,E 25 St & 1 Ave,In Service,30
195,40.70905623,-74.01043382,Liberty St & Broadway,In Service,45
212,40.74334935,-74.00681753,W 16 St & The High Line,In Service,28
216,40.70037867,-73.99548059,Columbia Heights & Cranberry St,In Service,23
217,40.70277159,-73.99383605,Old Fulton St,In Service,39
